Feature,Feature_Name,Importance
f175,f175,45.0
f170,f170,41.0
f180,f180,39.0
f65,f65,24.0
f50,f50,24.0
f0,f0,22.0
f250,f250,22.0
f205,f205,21.0
f194,f194,21.0
f75,f75,20.0
f2,f2,20.0
f56,f56,20.0
f60,f60,19.0
f235,f235,18.0
f237,f237,17.0
f267,f267,17.0
f1,f1,17.0
f120,f120,17.0
f81,f81,17.0
f55,f55,17.0
f54,f54,17.0
f284,f284,17.0
f9,f9,17.0
f275,f275,16.0
f25,f25,16.0
f224,f224,16.0
f105,f105,16.0
f3,f3,16.0
f283,f283,16.0
f189,f189,16.0
f4,f4,16.0
f69,f69,15.0
f74,f74,15.0
f7,f7,15.0
f253,f253,15.0
f37,f37,15.0
f196,f196,15.0
f249,f249,15.0
f19,f19,15.0
f206,f206,15.0
f15,f15,14.0
f155,f155,14.0
f66,f66,14.0
f108,f108,14.0
f10,f10,14.0
f219,f219,14.0
f14,f14,14.0
f6,f6,14.0
f104,f104,14.0
f27,f27,14.0
f239,f239,14.0
f23,f23,14.0
f79,f79,13.0
f216,f216,13.0
f223,f223,13.0
f90,f90,13.0
f214,f214,13.0
f211,f211,13.0
f229,f229,13.0
f5,f5,13.0
f100,f100,13.0
f59,f59,13.0
f34,f34,13.0
f280,f280,13.0
f8,f8,13.0
f185,f185,13.0
f36,f36,13.0
f35,f35,13.0
f24,f24,13.0
f281,f281,13.0
f122,f122,12.0
f244,f244,12.0
f221,f221,12.0
f236,f236,12.0
f251,f251,12.0
f29,f29,12.0
f87,f87,12.0
f187,f187,12.0
f62,f62,12.0
f222,f222,12.0
f143,f143,12.0
f20,f20,12.0
f204,f204,12.0
f240,f240,12.0
f265,f265,12.0
f266,f266,12.0
f156,f156,12.0
f209,f209,12.0
f44,f44,12.0
f193,f193,11.0
f145,f145,11.0
f28,f28,11.0
f203,f203,11.0
f30,f30,11.0
f32,f32,11.0
f245,f245,11.0
f186,f186,11.0
f228,f228,11.0
f225,f225,11.0
f200,f200,11.0
f164,f164,11.0
f49,f49,11.0
f40,f40,11.0
f84,f84,11.0
f260,f260,11.0
f121,f121,10.0
f115,f115,10.0
f218,f218,10.0
f11,f11,10.0
f188,f188,10.0
f18,f18,10.0
f76,f76,10.0
f33,f33,10.0
f42,f42,10.0
f67,f67,10.0
f83,f83,10.0
f85,f85,10.0
f61,f61,10.0
f272,f272,10.0
f152,f152,9.0
f210,f210,9.0
f16,f16,9.0
f207,f207,9.0
f150,f150,9.0
f151,f151,9.0
f110,f110,9.0
f213,f213,9.0
f274,f274,9.0
f202,f202,9.0
f159,f159,9.0
f201,f201,9.0
f52,f52,9.0
f51,f51,9.0
f195,f195,9.0
f39,f39,9.0
f26,f26,9.0
f262,f262,9.0
f22,f22,9.0
f243,f243,9.0
f254,f254,9.0
f73,f73,9.0
f246,f246,9.0
f248,f248,9.0
f231,f231,9.0
f128,f128,9.0
f230,f230,9.0
f257,f257,9.0
f41,f41,8.0
f191,f191,8.0
f102,f102,8.0
f38,f38,8.0
f47,f47,8.0
f116,f116,8.0
f279,f279,8.0
f117,f117,8.0
f197,f197,8.0
f103,f103,8.0
f234,f234,8.0
f242,f242,8.0
f138,f138,8.0
f158,f158,8.0
f99,f99,8.0
f95,f95,8.0
f247,f247,8.0
f270,f270,8.0
f215,f215,8.0
f126,f126,8.0
f17,f17,8.0
f269,f269,8.0
f241,f241,7.0
f261,f261,7.0
f258,f258,7.0
f192,f192,7.0
f268,f268,7.0
f199,f199,7.0
f282,f282,7.0
f227,f227,7.0
f208,f208,7.0
f148,f148,7.0
f109,f109,7.0
f119,f119,7.0
f63,f63,7.0
f129,f129,7.0
f146,f146,7.0
f88,f88,7.0
f149,f149,7.0
f154,f154,7.0
f106,f106,7.0
f160,f160,7.0
f13,f13,7.0
f94,f94,7.0
f96,f96,7.0
f46,f46,7.0
f45,f45,7.0
f70,f70,7.0
f92,f92,6.0
f89,f89,6.0
f98,f98,6.0
f226,f226,6.0
f80,f80,6.0
f101,f101,6.0
f130,f130,6.0
f111,f111,6.0
f136,f136,6.0
f147,f147,6.0
f139,f139,6.0
f168,f168,6.0
f166,f166,6.0
f48,f48,6.0
f278,f278,6.0
f58,f58,6.0
f271,f271,6.0
f144,f144,6.0
f162,f162,6.0
f161,f161,6.0
f277,f277,5.0
f43,f43,5.0
f93,f93,5.0
f91,f91,5.0
f64,f64,5.0
f21,f21,5.0
f68,f68,5.0
f86,f86,5.0
f57,f57,5.0
f259,f259,5.0
f77,f77,5.0
f72,f72,5.0
f263,f263,5.0
f264,f264,5.0
f190,f190,5.0
f137,f137,5.0
f157,f157,5.0
f135,f135,5.0
f113,f113,5.0
f114,f114,5.0
f233,f233,5.0
f238,f238,5.0
f142,f142,5.0
f124,f124,5.0
f212,f212,5.0
f127,f127,5.0
f82,f82,4.0
f217,f217,4.0
f140,f140,4.0
f220,f220,4.0
f273,f273,4.0
f107,f107,4.0
f153,f153,4.0
f198,f198,4.0
f163,f163,4.0
f123,f123,4.0
f232,f232,4.0
f165,f165,4.0
f97,f97,4.0
f167,f167,4.0
f12,f12,4.0
f53,f53,3.0
f141,f141,3.0
f112,f112,3.0
f132,f132,3.0
f78,f78,3.0
f256,f256,3.0
f255,f255,3.0
f125,f125,3.0
f252,f252,3.0
f134,f134,2.0
f131,f131,2.0
f276,f276,2.0
f173,f173,2.0
f169,f169,2.0
f31,f31,2.0
f71,f71,1.0
f118,f118,1.0
f133,f133,1.0
